GEOID,NAME,variable,estimate,moe,label
42,Pennsylvania,B01001_002,6138935,948,Estimate!!Total!!Male
44,Rhode Island,B01001_002,509859,409,Estimate!!Total!!Male
45,South Carolina,B01001_002,2195677,910,Estimate!!Total!!Male
46,South Dakota,B01001_002,400246,557,Estimate!!Total!!Male
47,Tennessee,B01001_002,3039629,1188,Estimate!!Total!!Male
48,Texas,B01001_002,12058770,2259,Estimate!!Total!!Male
49,Utah,B01001_002,1334860,502,Estimate!!Total!!Male
50,Vermont,B01001_002,307670,297,Estimate!!Total!!Male
51,Virginia,B01001_002,3849352,1636,Estimate!!Total!!Male
53,Washington,B01001_002,3267488,716,Estimate!!Total!!Male
54,West Virginia,B01001_002,904625,747,Estimate!!Total!!Male
55,Wisconsin,B01001_002,2795908,751,Estimate!!Total!!Male
56,Wyoming,B01001_002,277850,430,Estimate!!Total!!Male
72,Puerto Rico,B01001_002,1803918,NA,Estimate!!Total!!Male
01,Alabama,B01001_003,154287,569,Estimate!!Total!!Male!!Under 5 years
02,Alaska,B01001_003,26714,233,Estimate!!Total!!Male!!Under 5 years
04,Arizona,B01001_003,236518,411,Estimate!!Total!!Male!!Under 5 years
05,Arkansas,B01001_003,100110,620,Estimate!!Total!!Male!!Under 5 years
06,California,B01001_003,1300849,740,Estimate!!Total!!Male!!Under 5 years
08,Colorado,B01001_003,173902,544,Estimate!!Total!!Male!!Under 5 years
09,Connecticut,B01001_003,105318,199,Estimate!!Total!!Male!!Under 5 years
10,Delaware,B01001_003,28476,88,Estimate!!Total!!Male!!Under 5 years
11,District of Columbia,B01001_003,16463,74,Estimate!!Total!!Male!!Under 5 years
12,Florida,B01001_003,552027,785,Estimate!!Total!!Male!!Under 5 years
13,Georgia,B01001_003,351811,896,Estimate!!Total!!Male!!Under 5 years
15,Hawaii,B01001_003,44737,183,Estimate!!Total!!Male!!Under 5 years
16,Idaho,B01001_003,60968,335,Estimate!!Total!!Male!!Under 5 years
17,Illinois,B01001_003,431211,514,Estimate!!Total!!Male!!Under 5 years
18,Indiana,B01001_003,221612,535,Estimate!!Total!!Male!!Under 5 years
19,Iowa,B01001_003,101153,526,Estimate!!Total!!Male!!Under 5 years
20,Kansas,B01001_003,100765,502,Estimate!!Total!!Male!!Under 5 years
21,Kentucky,B01001_003,142230,628,Estimate!!Total!!Male!!Under 5 years
22,Louisiana,B01001_003,155698,546,Estimate!!Total!!Male!!Under 5 years
23,Maine,B01001_003,36243,207,Estimate!!Total!!Male!!Under 5 years
24,Maryland,B01001_003,186225,407,Estimate!!Total!!Male!!Under 5 years
25,Massachusetts,B01001_003,187996,216,Estimate!!Total!!Male!!Under 5 years
26,Michigan,B01001_003,314019,454,Estimate!!Total!!Male!!Under 5 years
27,Minnesota,B01001_003,179512,353,Estimate!!Total!!Male!!Under 5 years
28,Mississippi,B01001_003,106515,559,Estimate!!Total!!Male!!Under 5 years
29,Missouri,B01001_003,197907,547,Estimate!!Total!!Male!!Under 5 years
30,Montana,B01001_003,30531,328,Estimate!!Total!!Male!!Under 5 years
31,Nebraska,B01001_003,65834,316,Estimate!!Total!!Male!!Under 5 years
32,Nevada,B01001_003,96732,365,Estimate!!Total!!Male!!Under 5 years
33,New Hampshire,B01001_003,36772,236,Estimate!!Total!!Male!!Under 5 years
34,New Jersey,B01001_003,279434,203,Estimate!!Total!!Male!!Under 5 years
35,New Mexico,B01001_003,72947,360,Estimate!!Total!!Male!!Under 5 years
36,New York,B01001_003,592250,577,Estimate!!Total!!Male!!Under 5 years
37,North Carolina,B01001_003,318634,715,Estimate!!Total!!Male!!Under 5 years
38,North Dakota,B01001_003,21319,275,Estimate!!Total!!Male!!Under 5 years
39,Ohio,B01001_003,369367,632,Estimate!!Total!!Male!!Under 5 years
40,Oklahoma,B01001_003,130917,528,Estimate!!Total!!Male!!Under 5 years
41,Oregon,B01001_003,119993,434,Estimate!!Total!!Male!!Under 5 years
42,Pennsylvania,B01001_003,371755,416,Estimate!!Total!!Male!!Under 5 years
44,Rhode Island,B01001_003,30148,265,Estimate!!Total!!Male!!Under 5 years
45,South Carolina,B01001_003,150860,457,Estimate!!Total!!Male!!Under 5 years
46,South Dakota,B01001_003,29099,309,Estimate!!Total!!Male!!Under 5 years
47,Tennessee,B01001_003,205473,600,Estimate!!Total!!Male!!Under 5 years
48,Texas,B01001_003,972112,1019,Estimate!!Total!!Male!!Under 5 years
49,Utah,B01001_003,130971,244,Estimate!!Total!!Male!!Under 5 years
50,Vermont,B01001_003,16698,210,Estimate!!Total!!Male!!Under 5 years
51,Virginia,B01001_003,258706,963,Estimate!!Total!!Male!!Under 5 years
53,Washington,B01001_003,218403,364,Estimate!!Total!!Male!!Under 5 years
54,West Virginia,B01001_003,53226,431,Estimate!!Total!!Male!!Under 5 years
55,Wisconsin,B01001_003,181588,436,Estimate!!Total!!Male!!Under 5 years
56,Wyoming,B01001_003,19115,242,Estimate!!Total!!Male!!Under 5 years
72,Puerto Rico,B01001_003,120911,NA,Estimate!!Total!!Male!!Under 5 years
01,Alabama,B01001_004,157712,2070,Estimate!!Total!!Male!!5 to 9 years
02,Alaska,B01001_004,25393,751,Estimate!!Total!!Male!!5 to 9 years
04,Arizona,B01001_004,222414,2547,Estimate!!Total!!Male!!5 to 9 years
05,Arkansas,B01001_004,99973,1840,Estimate!!Total!!Male!!5 to 9 years
06,California,B01001_004,1265861,5470,Estimate!!Total!!Male!!5 to 9 years
08,Colorado,B01001_004,172622,2253,Estimate!!Total!!Male!!5 to 9 years
09,Connecticut,B01001_004,115611,1617,Estimate!!Total!!Male!!5 to 9 years
10,Delaware,B01001_004,28436,865,Estimate!!Total!!Male!!5 to 9 years
11,District of Columbia,B01001_004,13091,577,Estimate!!Total!!Male!!5 to 9 years
12,Florida,B01001_004,541272,3769,Estimate!!Total!!Male!!5 to 9 years
13,Georgia,B01001_004,348451,3129,Estimate!!Total!!Male!!5 to 9 years
15,Hawaii,B01001_004,40899,990,Estimate!!Total!!Male!!5 to 9 years
16,Idaho,B01001_004,58047,1131,Estimate!!Total!!Male!!5 to 9 years
17,Illinois,B01001_004,438963,2726,Estimate!!Total!!Male!!5 to 9 years
18,Indiana,B01001_004,226225,2178,Estimate!!Total!!Male!!5 to 9 years
19,Iowa,B01001_004,100512,1421,Estimate!!Total!!Male!!5 to 9 years
20,Kansas,B01001_004,102192,1620,Estimate!!Total!!Male!!5 to 9 years
21,Kentucky,B01001_004,142679,1729,Estimate!!Total!!Male!!5 to 9 years
22,Louisiana,B01001_004,153262,1975,Estimate!!Total!!Male!!5 to 9 years
23,Maine,B01001_004,38069,956,Estimate!!Total!!Male!!5 to 9 years
24,Maryland,B01001_004,185701,1795,Estimate!!Total!!Male!!5 to 9 years
25,Massachusetts,B01001_004,197362,2172,Estimate!!Total!!Male!!5 to 9 years
26,Michigan,B01001_004,334277,2983,Estimate!!Total!!Male!!5 to 9 years
27,Minnesota,B01001_004,176510,1688,Estimate!!Total!!Male!!5 to 9 years
28,Mississippi,B01001_004,106783,1787,Estimate!!Total!!Male!!5 to 9 years
29,Missouri,B01001_004,197473,2071,Estimate!!Total!!Male!!5 to 9 years
30,Montana,B01001_004,31054,835,Estimate!!Total!!Male!!5 to 9 years
31,Nebraska,B01001_004,63555,1151,Estimate!!Total!!Male!!5 to 9 years
32,Nevada,B01001_004,92110,1794,Estimate!!Total!!Male!!5 to 9 years
33,New Hampshire,B01001_004,39692,931,Estimate!!Total!!Male!!5 to 9 years
34,New Jersey,B01001_004,289618,2709,Estimate!!Total!!Male!!5 to 9 years
35,New Mexico,B01001_004,70360,1486,Estimate!!Total!!Male!!5 to 9 years
36,New York,B01001_004,596146,3663,Estimate!!Total!!Male!!5 to 9 years
37,North Carolina,B01001_004,318568,3099,Estimate!!Total!!Male!!5 to 9 years
38,North Dakota,B01001_004,20012,660,Estimate!!Total!!Male!!5 to 9 years
39,Ohio,B01001_004,384938,3080,Estimate!!Total!!Male!!5 to 9 years
40,Oklahoma,B01001_004,128549,1694,Estimate!!Total!!Male!!5 to 9 years
41,Oregon,B01001_004,120083,1928,Estimate!!Total!!Male!!5 to 9 years
42,Pennsylvania,B01001_004,389841,3236,Estimate!!Total!!Male!!5 to 9 years
44,Rhode Island,B01001_004,32094,964,Estimate!!Total!!Male!!5 to 9 years
45,South Carolina,B01001_004,147843,2105,Estimate!!Total!!Male!!5 to 9 years
46,South Dakota,B01001_004,26709,769,Estimate!!Total!!Male!!5 to 9 years
47,Tennessee,B01001_004,207541,2246,Estimate!!Total!!Male!!5 to 9 years
48,Texas,B01001_004,942931,4537,Estimate!!Total!!Male!!5 to 9 years
49,Utah,B01001_004,120678,1283,Estimate!!Total!!Male!!5 to 9 years
50,Vermont,B01001_004,17940,581,Estimate!!Total!!Male!!5 to 9 years
51,Virginia,B01001_004,255907,2205,Estimate!!Total!!Male!!5 to 9 years
53,Washington,B01001_004,215161,2461,Estimate!!Total!!Male!!5 to 9 years
54,West Virginia,B01001_004,52463,967,Estimate!!Total!!Male!!5 to 9 years
55,Wisconsin,B01001_004,185898,2094,Estimate!!Total!!Male!!5 to 9 years
56,Wyoming,B01001_004,18909,654,Estimate!!Total!!Male!!5 to 9 years
72,Puerto Rico,B01001_004,129843,1915,Estimate!!Total!!Male!!5 to 9 years
01,Alabama,B01001_005,163081,2055,Estimate!!Total!!Male!!10 to 14 years
02,Alaska,B01001_005,26357,751,Estimate!!Total!!Male!!10 to 14 years
04,Arizona,B01001_005,227579,2563,Estimate!!Total!!Male!!10 to 14 years
05,Arkansas,B01001_005,100014,1780,Estimate!!Total!!Male!!10 to 14 years
06,California,B01001_005,1339624,5545,Estimate!!Total!!Male!!10 to 14 years
08,Colorado,B01001_005,165015,2214,Estimate!!Total!!Male!!10 to 14 years
09,Connecticut,B01001_005,123801,1588,Estimate!!Total!!Male!!10 to 14 years
10,Delaware,B01001_005,28829,882,Estimate!!Total!!Male!!10 to 14 years
11,District of Columbia,B01001_005,13447,574,Estimate!!Total!!Male!!10 to 14 years
12,Florida,B01001_005,584017,3807,Estimate!!Total!!Male!!10 to 14 years
13,Georgia,B01001_005,343283,3221,Estimate!!Total!!Male!!10 to 14 years
15,Hawaii,B01001_005,42095,985,Estimate!!Total!!Male!!10 to 14 years
16,Idaho,B01001_005,60044,1141,Estimate!!Total!!Male!!10 to 14 years
17,Illinois,B01001_005,454358,2750,Estimate!!Total!!Male!!10 to 14 years
18,Indiana,B01001_005,230613,2252,Estimate!!Total!!Male!!10 to 14 years
19,Iowa,B01001_005,103642,1386,Estimate!!Total!!Male!!10 to 14 years
20,Kansas,B01001_005,100517,1724,Estimate!!Total!!Male!!10 to 14 years
21,Kentucky,B01001_005,148171,1815,Estimate!!Total!!Male!!10 to 14 years
22,Louisiana,B01001_005,156560,2141,Estimate!!Total!!Male!!10 to 14 years
23,Maine,B01001_005,42190,972,Estimate!!Total!!Male!!10 to 14 years
24,Maryland,B01001_005,195516,1788,Estimate!!Total!!Male!!10 to 14 years
25,Massachusetts,B01001_005,210284,2177,Estimate!!Total!!Male!!10 to 14 years
26,Michigan,B01001_005,358061,2946,Estimate!!Total!!Male!!10 to 14 years
27,Minnesota,B01001_005,183642,1762,Estimate!!Total!!Male!!10 to 14 years
28,Mississippi,B01001_005,106313,1776,Estimate!!Total!!Male!!10 to 14 years
29,Missouri,B01001_005,204681,2061,Estimate!!Total!!Male!!10 to 14 years
30,Montana,B01001_005,31897,766,Estimate!!Total!!Male!!10 to 14 years
31,Nebraska,B01001_005,62012,1216,Estimate!!Total!!Male!!10 to 14 years
32,Nevada,B01001_005,91301,1749,Estimate!!Total!!Male!!10 to 14 years
33,New Hampshire,B01001_005,46004,959,Estimate!!Total!!Male!!10 to 14 years
34,New Jersey,B01001_005,302240,2706,Estimate!!Total!!Male!!10 to 14 years
35,New Mexico,B01001_005,70954,1395,Estimate!!Total!!Male!!10 to 14 years
36,New York,B01001_005,635432,3566,Estimate!!Total!!Male!!10 to 14 years
37,North Carolina,B01001_005,313067,3068,Estimate!!Total!!Male!!10 to 14 years
38,North Dakota,B01001_005,20646,617,Estimate!!Total!!Male!!10 to 14 years
39,Ohio,B01001_005,402954,3208,Estimate!!Total!!Male!!10 to 14 years
40,Oklahoma,B01001_005,128553,1681,Estimate!!Total!!Male!!10 to 14 years
41,Oregon,B01001_005,123276,1995,Estimate!!Total!!Male!!10 to 14 years
42,Pennsylvania,B01001_005,409310,3210,Estimate!!Total!!Male!!10 to 14 years
44,Rhode Island,B01001_005,33280,917,Estimate!!Total!!Male!!10 to 14 years
45,South Carolina,B01001_005,150917,2038,Estimate!!Total!!Male!!10 to 14 years
46,South Dakota,B01001_005,29140,791,Estimate!!Total!!Male!!10 to 14 years
47,Tennessee,B01001_005,215443,2143,Estimate!!Total!!Male!!10 to 14 years
48,Texas,B01001_005,925668,4429,Estimate!!Total!!Male!!10 to 14 years
49,Utah,B01001_005,111443,1324,Estimate!!Total!!Male!!10 to 14 years
50,Vermont,B01001_005,20087,603,Estimate!!Total!!Male!!10 to 14 years
51,Virginia,B01001_005,260562,2363,Estimate!!Total!!Male!!10 to 14 years
53,Washington,B01001_005,223346,2466,Estimate!!Total!!Male!!10 to 14 years
54,West Virginia,B01001_005,57706,1049,Estimate!!Total!!Male!!10 to 14 years
55,Wisconsin,B01001_005,194681,2133,Estimate!!Total!!Male!!10 to 14 years
56,Wyoming,B01001_005,18236,622,Estimate!!Total!!Male!!10 to 14 years
72,Puerto Rico,B01001_005,144892,1916,Estimate!!Total!!Male!!10 to 14 years
01,Alabama,B01001_006,104632,528,Estimate!!Total!!Male!!15 to 17 years
02,Alaska,B01001_006,17011,229,Estimate!!Total!!Male!!15 to 17 years
04,Arizona,B01001_006,139383,287,Estimate!!Total!!Male!!15 to 17 years
05,Arkansas,B01001_006,62107,530,Estimate!!Total!!Male!!15 to 17 years
06,California,B01001_006,867657,528,Estimate!!Total!!Male!!15 to 17 years
08,Colorado,B01001_006,104643,411,Estimate!!Total!!Male!!15 to 17 years
09,Connecticut,B01001_006,79317,200,Estimate!!Total!!Male!!15 to 17 years
10,Delaware,B01001_006,19264,99,Estimate!!Total!!Male!!15 to 17 years
11,District of Columbia,B01001_006,9056,95,Estimate!!Total!!Male!!15 to 17 years
12,Florida,B01001_006,376067,880,Estimate!!Total!!Male!!15 to 17 years
13,Georgia,B01001_006,214667,1037,Estimate!!Total!!Male!!15 to 17 years
15,Hawaii,B01001_006,27018,93,Estimate!!Total!!Male!!15 to 17 years
16,Idaho,B01001_006,36173,355,Estimate!!Total!!Male!!15 to 17 years
